Model,Context Length,With Message,Concern Count,Accuracy,F1,Precision,Recall,Inference Time
qwen_qwen3-14b_Zero_shot,4096,Yes,3,0.19,0.67,0.68,0.67,8.890895484369013
qwen_qwen3-14b_Zero_shot,8192,No,1,0.44,0.62,0.57,0.71,5.81012104403588
qwen_qwen3-14b_Zero_shot,8192,No,2,0.42,0.67,0.67,0.69,7.86364902275196
qwen_qwen3-14b_Zero_shot,8192,No,3,0.15,0.66,0.71,0.64,11.852162321911582
qwen_qwen3-14b_Zero_shot,8192,Yes,1,0.5,0.72,0.66,0.84,5.377681759095961
qwen_qwen3-14b_Zero_shot,8192,Yes,2,0.35,0.66,0.65,0.68,7.393750712491464
qwen_qwen3-14b_Zero_shot,8192,Yes,3,0.2,0.68,0.7,0.68,11.004027230830133
qwen_qwen3-14b_Zero_shot,12288,No,1,0.44,0.62,0.57,0.71,5.702939983337156
qwen_qwen3-14b_Zero_shot,12288,No,2,0.38,0.65,0.65,0.68,8.55945979339489
qwen_qwen3-14b_Zero_shot,12288,No,3,0.15,0.66,0.72,0.64,12.549243890786473
qwen_qwen3-14b_Zero_shot,12288,Yes,1,0.5,0.72,0.66,0.84,5.862790776837256
qwen_qwen3-14b_Zero_shot,12288,Yes,2,0.35,0.66,0.65,0.69,8.945518569669861
qwen_qwen3-14b_Zero_shot,12288,Yes,3,0.19,0.67,0.7,0.67,13.119597519500346
