set,split,concern_count,cross_concern_file_overlap,overlaps_reference_set,n_files,n_hunks,hunks_per_file,distinct_function_contexts,function_context_coverage,within_function_coediting,median_line_gap,total_changed_lines,set1_variant
synthetic,train,1.0,,False,6,19,3.1666666666666665,15,0.8947368421052632,1,119.0,362,full
synthetic,train,1.0,,False,6,6,1.0,0,0.0,0,,6,full
synthetic,train,1.0,,False,2,2,1.0,2,1.0,0,,22,full
synthetic,train,1.0,,False,2,5,2.5,2,1.0,1,83.0,88,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,8,full
synthetic,train,1.0,,False,2,2,1.0,2,1.0,0,,9,full
synthetic,train,1.0,,False,2,2,1.0,2,1.0,0,,4,full
synthetic,train,1.0,,False,1,3,3.0,3,1.0,0,334.5,6,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,2,2,1.0,1,0.5,0,,4,full
synthetic,train,1.0,,False,12,19,1.5833333333333333,13,1.0,1,13.0,46,full
synthetic,train,1.0,,False,29,30,1.0344827586206897,3,0.13333333333333333,1,570.0,556,full
synthetic,train,1.0,,False,6,6,1.0,0,0.0,0,,115,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,15,full
synthetic,train,1.0,,False,2,3,1.5,2,1.0,1,20.0,7,full
synthetic,train,1.0,,False,4,8,2.0,5,1.0,1,107.0,72,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,True,13,21,1.6153846153846154,20,0.9523809523809523,0,274.0,360,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,28,full
synthetic,train,1.0,,False,3,8,2.6666666666666665,6,1.0,1,216.0,105,full
synthetic,train,1.0,,False,1,2,2.0,1,0.5,0,199.0,89,full
synthetic,train,1.0,,False,3,3,1.0,3,1.0,0,,6,full
synthetic,train,1.0,,False,2,15,7.5,5,0.3333333333333333,0,972.0,174,full
synthetic,train,1.0,,False,1,2,2.0,1,1.0,1,30.0,6,full
synthetic,train,1.0,,False,1,3,3.0,2,1.0,1,55.0,21,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,3,5,1.6666666666666667,5,1.0,0,13.0,21,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,21,full
synthetic,train,1.0,,False,4,4,1.0,3,0.75,0,,5,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
